ID1,ID2,EdgeType,Score,Annotation
5538,5539,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
5539,5540,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
5545,5562,MS1 annotation,11.000,[M+NH4]+ [M+H]+ dm/z=17.0268
5556,5557,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
5556,5557,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9820
5562,5593,MS1 annotation,11.000,[2M-2H2O+2H]2+ [M+NH4]+ dm/z=35.0373
5577,5580,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
5587,5588,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
5593,5594,MS1 annotation,11.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9925
5593,5594,MS1 annotation,11.000,[M+Na]+ [2M-2H2O+2H]2+ dm/z=39.9925
5622,5628,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0372
5622,5623,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9929
5622,5628,MS1 annotation,3.000,[M+NH4]+ [2M-2H2O+2H]2+ dm/z=35.0372
5622,5623,MS1 annotation,3.000,[M+Na]+ [2M-2H2O+2H]2+ dm/z=39.9929
5623,5628,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9557
5640,5642,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
5654,5676,MS1 annotation,2.000,[M-H2O+NH4]+ [M+Na]+ dm/z=22.9670
5679,5689,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
5679,5693,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
5689,5693,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9824
5709,5716,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
5709,5717,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9824
5716,5717,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
5741,5751,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
5745,5746,MS1 annotation,2.000,[2M+2H]2+ [M+Na]+ dm/z=21.9823
5751,5755,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9820
5764,5775,MS1 annotation,6.000,[2M+2H]2+ [M+K]+ dm/z=37.9571
5764,5778,MS1 annotation,6.000,[M+Na]+ [M+K]+ dm/z=15.9743
5764,5781,MS1 annotation,6.000,[2M-2H2O+2H]2+ [M+K]+ dm/z=55.9670
5766,5782,MS1 annotation,6.000,[M+NH4]+ [2M+Na]+ dm/z=497.2837
5766,5781,MS1 annotation,6.000,[M-H2O+H]+ [2M+Na]+ dm/z=532.3211
5775,5782,MS1 annotation,6.000,[M+NH4]+ [M+H]+ dm/z=17.0275
5775,5778,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9828
5775,5782,MS1 annotation,6.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0275
5775,5778,MS1 annotation,6.000,[M+Na]+ [2M+2H]2+ dm/z=21.9828
5778,5782,MS1 annotation,6.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
5778,5781,MS1 annotation,6.000,[2M-2H2O+2H]2+ [M+Na]+ dm/z=39.9927
5781,5782,MS1 annotation,6.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0374
5781,5782,MS1 annotation,6.000,[M+NH4]+ [2M-2H2O+2H]2+ dm/z=35.0374
5822,5831,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9557
5827,5845,MS1 annotation,2.000,[2M+2H]2+ [M+Na]+ dm/z=21.9842
5830,5831,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
5830,5831,MS1 annotation,3.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0267
5840,5841,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9825
5840,5841,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9825
5842,5843,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
5883,5884,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9561
5890,5897,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
5900,5905,MS1 annotation,2.000,[2M+H]+ [M-H2O+K]+ dm/z=109.1274
5917,5918,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9825
5917,5918,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9825
5929,5933,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
5936,5937,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9545
5942,5956,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0263
5942,5960,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
5956,5960,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9823
5968,5969,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
5987,5989,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9565
5987,5988,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9831
5988,5989,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
6009,6012,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9833
6027,6032,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9930
6027,6028,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0374
6027,6032,MS1 annotation,3.000,[M+Na]+ [2M-2H2O+2H]2+ dm/z=39.9930
6027,6028,MS1 annotation,3.000,[M+NH4]+ [2M-2H2O+2H]2+ dm/z=35.0374
6062,6069,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
6075,6080,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9564
6077,6094,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
6077,6098,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
6094,6098,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9821
6104,6122,MS1 annotation,2.000,[M+H]+ [M+K]+ dm/z=37.9601
6147,6148,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
6155,6172,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
6164,6165,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9829
6178,6179,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9545
6187,6196,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9558
6187,6195,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9822
6195,6196,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
6203,6207,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9547
6217,6251,MS1 annotation,5.000,[M+H]+ [M-H+2Na]+ dm/z=43.9641
6220,6224,MS1 annotation,3.000,[2M+2H]2+ [M+NH4]+ dm/z=17.0265
6222,6224,MS1 annotation,3.000,[2M+2H]2+ [M+Na]+ dm/z=21.9820
6226,6290,MS1 annotation,4.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0035
6235,6243,MS1 annotation,2.000,[2M-2H2O+2H]2+ [M+Na]+ dm/z=39.9939
6245,6290,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9826
6245,6290,MS1 annotation,4.000,[M+Na]+ [2M+2H]2+ dm/z=21.9826
6251,6259,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9816
6251,6266,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0267
6259,6266,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9550
6265,6266,MS1 annotation,5.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0368
6267,6290,MS1 annotation,4.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9930
6267,6290,MS1 annotation,4.000,[M+Na]+ [2M-2H2O+2H]2+ dm/z=39.9930
6269,6271,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9561
6269,6270,MS1 annotation,3.000,[2M+2H]2+ [M+Na]+ dm/z=21.9827
6270,6271,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
6270,6271,MS1 annotation,3.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0265
6286,6288,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
6295,6316,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9545
6336,6337,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
6338,6352,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9545
6368,6380,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9824
6370,6371,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
6372,6375,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
6404,6408,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9557
6408,6417,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
6422,6428,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
6429,6431,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
6431,6442,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
6473,6474,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9536
6484,6498,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9556
6487,6488,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
6496,6498,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
6509,6522,MS1 annotation,2.000,[2M+2H]2+ [M+Na]+ dm/z=21.9826
6515,6516,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
6517,6534,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9540
6532,6545,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0375
6532,6545,MS1 annotation,2.000,[M+NH4]+ [2M-2H2O+2H]2+ dm/z=35.0375
6535,6541,MS1 annotation,2.000,[2M-2H2O+2H]2+ [M+Na]+ dm/z=39.9936
6538,6539,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9822
6538,6540,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0268
