"","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"4741_596.308_11.379",14171.888,3091.5894,13331.239,4608.207,13491.955,11570.623,0,2567.7217,5516.6304,0,0,2217.6448
"4595_596.309_11.229",11878.586,3511.397,15903.588,4376.2876,13654.538,17556.047,2215.48,4782.4814,10423.049,2106.5386,1696.2859,6412.516
"6721_597.27_12.908",31625.875,36124.543,36877.5,56484.457,58441.957,51708.367,17827.76,20034.432,20650.902,17067.18,15405.668,15347.594
"4030_598.324_10.548",1738.1028,0,1755.2765,0,0,2839.3516,0,0,0,0,0,0
"5106_598.324_11.734",11297.592,18504.63,17172.14,3081.9897,5352.635,6639.0903,0,7099.2637,0,0,0,0
"1869_598.454_6.722",34365.734,32886.496,34056.668,94381.984,99469.586,89499.32,23477.188,22363.693,25188.816,25920.09,27505.719,28002.34
"5755_599.159_12.307",79011.69,80879.945,84029.445,249941.45,246745.77,222776.88,18235.086,18788.885,18017.898,0,0,0
"4764_599.247_11.384",5823.0293,8093.2705,13921.247,7679.9546,22340.938,13180.997,2454.898,0,2260.4155,0,2179.6765,4482.2314
"6266_600.341_12.614",61859.133,80127.68,72457.016,0,0,0,0,12900.926,11599.682,0,0,0
"18_601.195_0.746",0,2341.126,2376.5063,4029.0828,9112.344,7482.329,0,0,0,0,0,0
"5514_601.262_12.094",114750.28,63692.926,59789.664,34254.03,42466.984,51388.59,0,0,0,0,0,0
"5465_601.262_12.068",53067.164,113664.06,61080.94,21262.508,25378.775,40972,2116.5884,0,0,0,0,0
"7717_601.262_15.882",103254.46,24020.994,20903.688,30359.098,29464.627,14458.561,4621.2236,18650.953,5214.273,2333.1304,0,0
"4596_601.264_11.233",7540.702,25723.922,5125.01,10997.764,48831.652,16218.154,5733.289,16621.914,11912.081,11720.256,8641.352,13733.916
"7487_601.446_13.987",2387.7236,5808.993,0,0,0,0,0,0,0,0,0,0
"5105_603.279_11.724",19184.875,7606.634,15459.869,6669.4604,11792.518,15788.695,2591.5203,10245.642,10598.876,0,1857.2915,1636.6533
