"","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"34605_421.221_11.831",12941.833,15643.705,13945.708,36474.707,46199.117,72049.9,303742.94,158861.5,204206.4,14069.239,12201.088,41559.35,28265.418,38308.39,19341.156
"32401_421.221_11.177",8115,8115,8115,47722.867,74871.05,62780.96,223409.55,57331.312,126493.83,181865.75,58932.15,69217.73,59444.516,62624.57,57215.074
"35407_421.232_12.127",8115,8115,8115,729768,743777,756205.75,592098.1,610553.7,652823.75,881567.1,800327.9,671059.8,831484.44,853825.06,851356.25
"26473_421.244_9.638",46874.48,46511.34,61635.867,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115
"25889_421.246_9.478",34991.8,44476.074,41828.137,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115
"35296_421.257_12.074",8115,8115,8115,101564.875,103166.47,95290.31,133746.17,121447.11,115556.26,94517.06,82357.75,96056.43,84034.266,236850.38,91646.83
"36423_421.258_12.46",8115,8115,8115,43773.984,13220.052,48218.625,69829.805,33861.89,13873.299,16917.412,18775.695,28057.453,13586.723,85501.96,45259.508
"28024_421.283_10.08",8115,8115,8115,42897.61,48175.29,41296.367,43407.87,39832.633,45417.3,40083.36,43136.664,39107.2,45497.254,46452.324,48381.57
"38716_421.293_13.251",8115,8115,8115,255258.98,186016.66,127100.22,286163.56,296454.34,157042.9,157207.77,177971.39,226239.95,174023.1,217294.33,144684.88
"39107_421.293_13.536",8115,8115,8115,49906.62,51945.797,49179.195,45967.805,51077.99,46411.457,35300.805,33978.74,37036.426,31552.332,38896.656,30671.879
"39211_421.293_13.665",8115,8115,8115,23108.807,26515.492,24669.68,22018.018,18128.701,16421.467,17712.295,23066.506,20701.834,18839.996,15787.308,15253.061
"684_422.168_2.568",8115,8115,8115,50271.33,40499.79,57367.27,90329.836,90696.99,90137,8115,24402.244,11407.74,15128.905,10155.199,11949.885
"2424_422.217_5.388",8115,8115,8115,79724.41,72318.33,60525.21,111892.805,106689.92,82989.81,56297.09,45148.15,22849.16,60381.65,61141.805,43089.793
"23780_422.245_8.995",8115,8115,8115,60363.535,64485.113,58136.69,127278.7,134937.92,142451.42,43013.277,48080.2,56304.83,46704.492,44721.35,57553.66
"22252_422.245_8.698",8115,8115,8115,77440.09,78928.055,77643.41,291917.5,297963.8,324962.66,52922.047,59042.35,57577.5,51545.17,49828.34,49697.85
"25461_422.246_9.398",8115,8115,8115,149033.66,155639.39,162034.12,292946.88,293248.38,335288.75,140060.66,131450.02,133377.23,126540.445,127922.82,141767.12
"38841_422.294_13.328",8115,8115,8115,69172.83,80130.3,88909.87,153715.31,132102.97,153605.6,31258.469,35940.066,45566.766,9839.774,15136.188,8559.795
"39554_422.306_14.408",59931.195,57609.098,64035.66,11078.092,13022.264,9659.476,50968.445,55802.87,57977.78,8115,8115,8115,8115,8115,8115
"39424_422.384_13.956",32397.27,32448.537,34049.63,14339.221,11604.79,15135.859,42175.523,46630.07,47473.39,8115,8115,8115,8115,8115,8115
"3950_423.126_5.817",8115,8115,8115,64751.523,103289.766,50514.793,26790.65,46877.445,42759.812,87943.52,111592.69,191269.34,111992.92,50184.574,25761.164
"8785_423.127_6.666",8115,8115,8115,201377,158477.4,166829.86,158889.36,84849.54,301360.6,165159.19,147544.6,157216.52,155439.03,131925.92,100082.35
"4882_423.143_5.968",8115,8115,8115,39595.477,38793.47,54817.38,93743.94,139534.5,47705.07,39177.152,76987.29,29534.816,40130.33,40178.652,31289.12
"3662_423.143_5.706",8115,8115,8115,45776.68,74816.414,77420.164,60291.4,27577.992,149861.7,13564.648,43880.168,49314.07,93057.516,52836.023,47581.957
"15533_423.165_7.677",8115,8115,8115,3823234.2,366162.22,179018.5,420351.62,456874.8,161787.36,332405.7,3109044.5,345340.62,2158133.8,335303.7,343334.03
"17339_423.165_7.895",8115,8115,8115,409625.25,415033.84,262067.03,489105.8,465477.88,480091.28,109682.52,343714.97,3106554,346366.25,3063303.2,275511.12
"22575_423.165_8.757",8115,8115,8115,333712.34,348015.75,341520.94,572657.06,4148141,4555067,288495.84,271338.88,271311.4,258188.25,182164.06,280301.84
"16523_423.165_7.833",8115,8115,8115,410683.38,3868212.2,3973846.8,201194.75,479453.4,482744.4,3117094.8,363910.84,280767.12,324268.88,341306.94,324455.5
"18772_423.165_8.145",8115,8115,8115,400484.7,406113.06,414606.8,537278,553370.56,386345.38,321790.88,244889.72,326639.12,286984.3,334282.03,2574472.8
"21771_423.165_8.596",8115,8115,8115,356600.28,372615.8,366043.6,4563693.5,565271.7,547812.44,293035.03,264284.62,279014.8,249375.48,193768.4,291735.6
"1632_423.177_5.081",8115,8115,8115,87204.24,68187.93,38659.87,71019.016,79019.69,21450.566,69783.195,93000.04,80101.875,191978.1,41322.41,63168.973
"3426_423.178_5.726",8115,8115,8115,87728.28,466011.44,75775.59,157336.7,144392.95,163987.16,333565.72,372623.53,113657.99,108946.84,105573.1,33143.098
"5824_423.178_6.154",8115,8115,8115,223611.77,155768.9,921427.9,998850.8,1511238.2,168751.67,113403.586,238138.55,34919.27,80528.74,516022.62,29576.943
"4349_423.178_5.901",8115,8115,8115,92846.36,150728.64,136189.77,171503.03,174783.3,191710.94,104863.42,74227.45,307418.12,22191.363,115538.33,122423.484
"4959_423.178_5.996",8115,8115,8115,70534.33,194629.27,152302.92,135495.61,203862.39,1119836.6,392275.22,109492.12,214157.89,46595.758,37679.844,100330.14
"6513_423.178_6.268",8115,8115,8115,267737.44,117044.41,145532.42,208108.06,126390.734,98186.77,108419.1,71479.87,85853.586,115823.25,114445.01,84841.03
"12799_423.179_7.24",8115,8115,8115,48333.652,47744.676,9953.765,49850.453,46983.49,26636.252,14650.586,15927.13,34432.977,16809.92,24861.652,18964.951
"18484_423.179_8.095",8115,8115,8115,8115,11929.137,8115,9173.381,19958.506,14553.435,10736.124,8115,12224.27,8115,8115,8115
"21746_423.181_8.669",8115,8115,8115,9416.396,8342.907,13505.879,19978.684,15696.764,18134.168,22440.494,33685.61,24320.693,8182.081,21844.426,8115
"23673_423.181_8.963",8115,8115,8115,20506.164,35915.176,14459.974,9565.431,13152.108,13766.556,8115,9388.469,14175.692,9964.515,11239.961,15467.1875
"28008_423.181_10.067",8115,8115,8115,8115,17225.857,8115,12862.266,12674.398,21537.963,8115,21010.041,10339.918,12293.832,9777.857,10428.976
"24589_423.181_9.171",8115,8115,8115,11027.565,23247.705,23249.174,16818.275,32545.84,14739.989,14593.336,13386.795,18903.262,16600.14,8115,11405.786
"32474_423.2_11.214",8115,8115,8115,36242.13,26344.855,90048.29,224257.31,98310.836,56136.867,86886.8,89400.07,50106.11,82572.164,106442.2,54690.297
"27525_423.289_9.929",8115,8115,8115,332732.38,360180.38,374061.72,361279.53,351230.5,343004.66,336926.75,305298.03,325831.5,309049.06,314765.1,319669.34
"39237_423.309_13.726",8115,8115,8115,43130.75,32942.67,29385.926,59108.453,54720.008,41487.164,18776.422,32961.234,41599.633,32373.537,35675.594,34375.355
"8827_424.158_6.675",8115,8115,8115,135699.81,71273.23,108372.125,73485.46,190771.12,25086.281,140995,41347.414,59700.062,88082.92,22844.062,116064.516
"5011_424.158_6.028",8115,8115,8115,104803.66,118816.28,37495.72,104397.375,131113.14,54576.24,103291,97182.5,61282.867,288970.1,449802.38,90437.12
"7676_424.158_6.492",8115,8115,8115,498796.4,159785.06,244224.94,441777.4,187018.23,102051.484,128243.76,71327.2,81386.836,115079.31,81613.53,538681.7
